Season,Id,Date,Time,League,Home,Away,Round_number,FT_Goals_H,FT_Goals_A,FT_Odd_ML_Bookie,FT_Odd_ML_H,FT_Odd_ML_D,FT_Odd_ML_A,HT_Odd_OU_05_Bookie,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_OU_05_Bookie,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_OU_15_Bookie,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_OU_25_Bookie,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_OU_35_Bookie,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_OU_45_Bookie,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Bookie,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
2021,dWkxBIGs,2021-02-12,19:15,ARGENTINA - COPA DA LIGA PROFISSIONAL,Banfield,Racing Club,RODADA 1,2,0,bet365,2.15,3.1,3.25,bet365,1.44,2.62,bet365,1.08,8.5,bet365,1.36,3.0,bet365,2.2,1.65,bet365,4.0,1.22,bet365,9.0,1.07,bet365,1.83,1.83
2021,Uqlp9dof,2021-02-12,21:30,ARGENTINA - COPA DA LIGA PROFISSIONAL,Central Córdoba,Colón,RODADA 1,0,3,bet365,2.75,3.0,2.5,bet365,1.53,2.37,bet365,1.1,7.0,bet365,1.44,2.62,bet365,2.5,1.5,bet365,5.0,1.16,bet365,11.0,1.05,bet365,2.0,1.72
2021,C4NmTHxQ,2021-02-12,21:30,ARGENTINA - COPA DA LIGA PROFISSIONAL,Union Santa Fe,Atl. Tucuman,RODADA 1,2,2,bet365,2.05,2.9,3.4,bet365,1.4,2.75,bet365,1.06,10.0,bet365,1.25,3.75,bet365,1.85,1.95,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.66,2.1
2021,KAbAFb8Q,2021-02-13,17:10,ARGENTINA - COPA DA LIGA PROFISSIONAL,Aldosivi,Godoy Cruz,RODADA 1,1,2,bet365,2.4,3.1,3.0,bet365,1.4,2.75,bet365,1.06,10.0,bet365,1.28,3.5,bet365,1.95,1.85,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.66,2.1
2021,KYtc6fVC,2021-02-13,17:10,ARGENTINA - COPA DA LIGA PROFISSIONAL,Talleres Córdoba,Patronato,RODADA 1,1,0,bet365,1.65,3.6,5.75,bet365,1.53,2.37,bet365,1.1,7.5,bet365,1.44,2.62,bet365,2.35,1.57,bet365,4.5,1.18,bet365,11.0,1.05,bet365,2.25,1.57
2021,nLrk8G00,2021-02-13,19:20,ARGENTINA - COPA DA LIGA PROFISSIONAL,Vélez Sarsfield,Newell's Old Boys,RODADA 1,1,0,bet365,2.15,3.1,3.6,bet365,1.5,2.5,bet365,1.08,8.0,bet365,1.36,3.0,bet365,2.15,1.66,bet365,4.0,1.22,bet365,9.0,1.07,bet365,1.83,1.83
2021,jgktAxWm,2021-02-13,21:30,ARGENTINA - COPA DA LIGA PROFISSIONAL,San Lorenzo,Arsenal Sarandí,RODADA 1,2,1,bet365,2.15,3.1,3.8,bet365,1.4,2.75,bet365,1.06,10.0,bet365,1.28,3.5,bet365,2.0,1.8,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.66,2.1
2021,YDOqUcNJ,2021-02-14,17:10,ARGENTINA - COPA DA LIGA PROFISSIONAL,Defensa y Justicia,Huracán,RODADA 1,3,2,bet365,1.83,3.4,4.33,bet365,1.44,2.62,bet365,1.08,8.5,bet365,1.36,3.0,bet365,2.1,1.7,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.9,1.8
2021,QBsg7zG6,2021-02-14,19:20,ARGENTINA - COPA DA LIGA PROFISSIONAL,Boca Juniors,Gimnasia L.P.,RODADA 1,2,2,bet365,1.61,3.6,6.0,bet365,1.44,2.62,bet365,1.08,8.5,bet365,1.36,3.0,bet365,2.05,1.75,bet365,3.75,1.25,bet365,8.0,1.08,bet365,2.0,1.72
2021,CS5zKDaC,2021-02-14,21:30,ARGENTINA - COPA DA LIGA PROFISSIONAL,Estudiantes,River Plate,RODADA 1,2,1,bet365,5.25,3.6,1.66,bet365,1.44,2.62,bet365,1.08,8.5,bet365,1.36,3.0,bet365,2.15,1.66,bet365,4.0,1.22,bet365,9.0,1.07,bet365,2.1,1.66
2021,xn95GvgK,2021-02-15,19:15,ARGENTINA - COPA DA LIGA PROFISSIONAL,Rosario Central,Argentinos Juniors,RODADA 1,2,1,bet365,2.3,3.1,3.3,bet365,1.53,2.37,bet365,1.1,7.5,bet365,1.44,2.62,bet365,2.4,1.53,bet365,4.5,1.18,bet365,11.0,1.05,bet365,2.0,1.72
2021,W8p15EpJ,2021-02-15,21:30,ARGENTINA - COPA DA LIGA PROFISSIONAL,Independiente,Lanús,RODADA 1,0,1,bet365,2.37,3.2,3.0,bet365,1.44,2.62,bet365,1.07,9.0,bet365,1.33,3.25,bet365,2.0,1.8,bet365,3.5,1.28,bet365,8.0,1.08,bet365,1.8,1.9
2021,UwNjWzqe,2021-02-19,19:15,ARGENTINA - COPA DA LIGA PROFISSIONAL,Gimnasia L.P.,Talleres Córdoba,RODADA 2,3,0,bet365,2.5,2.9,2.8,bet365,1.53,2.37,bet365,1.1,7.0,bet365,1.44,2.62,bet365,2.4,1.53,bet365,4.5,1.18,bet365,11.0,1.05,bet365,2.0,1.72
2021,E3QFUN7j,2021-02-19,21:30,ARGENTINA - COPA DA LIGA PROFISSIONAL,Arsenal Sarandí,Banfield,RODADA 2,0,2,bet365,4.2,3.5,1.75,bet365,1.44,2.62,bet365,1.07,9.5,bet365,1.33,3.25,bet365,2.05,1.75,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.9,1.8
2021,fa32hRac,2021-02-20,17:10,ARGENTINA - COPA DA LIGA PROFISSIONAL,Godoy Cruz,Estudiantes,RODADA 2,0,2,bet365,3.25,3.2,2.1,bet365,1.44,2.62,bet365,1.08,8.5,bet365,1.36,3.0,bet365,2.15,1.66,bet365,3.75,1.25,bet365,9.0,1.07,bet365,1.83,1.83
2021,dQOrYdEr,2021-02-20,17:10,ARGENTINA - COPA DA LIGA PROFISSIONAL,Lanús,Defensa y Justicia,RODADA 2,2,1,bet365,3.1,3.2,2.2,bet365,1.4,2.75,bet365,1.07,9.5,bet365,1.3,3.4,bet365,2.0,1.8,bet365,3.5,1.28,bet365,7.0,1.1,bet365,1.8,1.9
2021,G84bg7pi,2021-02-20,19:20,ARGENTINA - COPA DA LIGA PROFISSIONAL,Racing Club,Aldosivi,RODADA 2,2,2,bet365,1.72,3.5,4.33,bet365,1.4,2.75,bet365,1.06,10.0,bet365,1.3,3.4,bet365,1.95,1.85,bet365,3.5,1.28,bet365,7.0,1.1,bet365,1.83,1.83
