Id,Date,Time,League,Season,Round,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,Odd_BTTS_Yes,Odd_BTTS_No
ribb93M5,01/02/2025,13:00,ESLOVÊNIA - PRVA LIGA,2024/2025,RODADA 19,Celje,Bravo,2.02,3.4,3.43,1.36,3.0,1.02,11.0,1.25,3.75,1.8,2.0,3.0,1.36,5.0,1.14,1.67,2.15
46n77siI,01/02/2025,13:00,ESLOVÊNIA - PRVA LIGA,2024/2025,RODADA 19,Maribor,Domzale,1.13,6.25,23.0,1.3,3.4,1.02,11.0,1.2,4.33,1.67,2.15,2.63,1.44,4.5,1.17,3.25,1.32
jNpF5LLU,01/02/2025,13:00,ESLOVÊNIA - PRVA LIGA,2024/2025,RODADA 19,Mura,Nafta,1.39,4.1,9.05,1.4,2.75,1.04,9.0,1.29,3.5,1.95,1.85,3.4,1.3,6.0,1.11,2.25,1.61
4U0V7B2b,01/02/2025,13:00,ESLOVÊNIA - PRVA LIGA,2024/2025,RODADA 19,O. Ljubljana,Primorje,1.41,4.2,7.55,1.4,2.75,1.04,9.0,1.3,3.4,2.0,1.8,3.5,1.29,6.5,1.1,2.25,1.61
WG2N9XXo,01/02/2025,13:00,ESLOVÊNIA - PRVA LIGA,2024/2025,RODADA 19,Radomlje,Koper,4.49,3.5,1.77,1.4,2.75,1.03,9.5,1.3,3.4,2.0,1.8,3.4,1.3,6.5,1.1,1.91,1.85
naL2UPCm,03/01/2025,17:00,FRANÇA - LIGUE 1,2024/2025,RODADA 16,Nice,Rennes,2.2,3.3,3.25,1.4,2.75,1.06,10.0,1.3,3.5,2.02,1.88,3.4,1.33,6.5,1.11,1.75,2.0
YewhqAG6,04/01/2025,12:00,GRÉCIA - SUPERLIGA,2024/2025,RODADA 17,Athens Kallithea,Lamia,2.1,3.25,3.75,1.5,2.5,1.08,8.0,1.4,2.75,2.25,1.62,4.33,1.2,10.0,1.06,2.0,1.75
xU1KHnTs,04/01/2025,13:00,FRANÇA - LIGUE 1,2024/2025,RODADA 16,St. Etienne,Reims,3.3,3.3,2.2,1.4,2.75,1.06,10.0,1.29,3.75,1.95,1.95,3.2,1.36,6.0,1.13,1.7,2.05
vgbyE4S6,04/01/2025,15:00,FRANÇA - LIGUE 1,2024/2025,RODADA 16,Lille,Nantes,1.53,4.5,5.5,1.4,2.75,1.05,11.0,1.3,3.5,1.95,1.95,3.4,1.33,6.0,1.13,2.0,1.75
QkY1a5DD,04/01/2025,17:00,FRANÇA - LIGUE 1,2024/2025,RODADA 16,Lyon,Montpellier,1.3,5.5,8.5,1.2,4.33,1.02,21.0,1.11,6.5,1.36,3.2,1.91,1.91,3.2,1.36,1.62,2.2
bcDQc9Va,05/01/2025,10:00,GRÉCIA - SUPERLIGA,2024/2025,RODADA 17,Levadiakos,Panserraikos,2.15,3.3,3.5,1.36,3.0,1.05,11.0,1.22,4.0,1.83,2.03,3.0,1.36,5.5,1.14,1.67,2.1
YeeTFQcf,05/01/2025,11:00,FRANÇA - LIGUE 1,2024/2025,RODADA 16,Angers,Brest,3.1,3.2,2.3,1.44,2.63,1.07,9.0,1.33,3.4,2.1,1.73,3.75,1.29,7.0,1.1,1.8,1.95
tbGlN85K,05/01/2025,11:00,FRANÇA - LIGUE 1,2024/2025,RODADA 16,Lens,Toulouse,1.9,3.4,4.2,1.4,2.75,1.06,10.0,1.29,3.75,1.99,1.91,3.4,1.33,6.0,1.13,1.8,1.95
